parameter,median,ci90_low,ci90_high,ci90_width
chirp_mass,2996281.8038657987,2991858.0344680883,3000297.617989719,8439.583521630615
mass_ratio,0.25031370519786433,0.24809242615586521,0.2525464924049282,0.004454066249062999
spin_1z,0.3942049038792728,0.3802418199635695,0.40791190265614524,0.02767008269257576
spin_2z,0.6171932947632025,0.5543866539686493,0.68058636506929,0.12619971110064077
coalescence_time,25.011075492345242,25.01104764525089,25.011103057873534,5.541262264330271e-05
coalescence_phase,1.8255055963856979,1.811726716222775,1.8391134249740495,0.02738670875127447
luminosity_distance,45327.89995809932,43738.6920991522,47009.56290366801,3270.870804515813
inclination,1.88522549389159,1.8834193336327951,1.8871849646446668,0.003765631011871662
longitude,2.1605780968149064,1.999952809910045,2.301545467304054,0.3015926573940091
latitude,-0.7924399534206779,-0.8858228998102563,-0.697578752614372,0.18824414719588434
psi,1.8660747473289558,1.777272999674264,1.9697665544914038,0.1924935548171398
