parameter,lower,upper,relative_tolerance,lower_fraction,upper_fraction,max_boundary_fraction,warns_boundary_contact
chirp_mass,2977230.5733970865,3016632.6386939487,0.02,0.0,0.0,0.0,False
mass_ratio,0.24026179719609153,0.2606201928153363,0.02,0.0,0.0,0.0,False
spin_1z,0.33183983203584333,0.4574174143554546,0.02,0.0,0.0,0.0,False
spin_2z,0.32997998708034215,0.9035881832167949,0.02,0.0,0.0,0.0,False
coalescence_time,25.0109481812771,25.011207762581613,0.02,0.0,0.0,0.0,False
coalescence_phase,1.759867389032533,1.888753474711408,0.02,0.0,0.0,0.0,False
luminosity_distance,13277.131274596944,77815.79647124583,0.02,0.0,0.0,0.0,False
inclination,1.8633202717007376,1.9070665934030175,0.02,0.0004591368227731864,0.0,0.0004591368227731864,False
longitude,1.6707391377638614,2.6707391377638614,0.02,0.006519742883379247,0.00404040404040404,0.006519742883379247,False
latitude,-1.2850421083479708,-0.28504210834797095,0.02,0.00018365472910927456,0.005785123966942148,0.005785123966942148,False
psi,1.360925452360817,2.360925452360817,0.02,0.0,0.0,0.0,False
