parameter,baseline_median,baseline_ci90_low,baseline_ci90_high,baseline_ci90_width,five_day_median,five_day_ci90_low,five_day_ci90_high,five_day_ci90_width,ci90_width_ratio_5day_over_baseline
chirp_mass,2996281.8038657987,2991858.0344680883,3000297.617989719,8439.583521630615,2997655.6795284096,2994002.212280875,3000854.9354044474,6852.723123572301,0.8119740868739319
coalescence_phase,1.8255055963856979,1.811726716222775,1.8391134249740495,0.02738670875127447,1.8247799929665507,1.8107371853409397,1.8382931802728297,0.027555994931889982,1.0061813262102053
coalescence_time,25.011075492345242,25.01104764525089,25.011103057873534,5.541262264330271e-05,25.011077631825316,25.011050769947033,25.011107291613797,5.6521666763842404e-05,1.020014286775032
inclination,1.88522549389159,1.8834193336327951,1.8871849646446668,0.003765631011871662,1.8848334259989805,1.882762049517196,1.88659108882676,0.0038290393095641306,1.0168386911762106
latitude,-0.7924399534206779,-0.8858228998102563,-0.697578752614372,0.18824414719588434,-0.794583655577036,-0.9057380110133421,-0.6926558285385219,0.21308218247482014,1.131945856744697
longitude,2.1605780968149064,1.999952809910045,2.301545467304054,0.3015926573940091,2.2150255054841583,2.0577842023790147,2.3429731663828797,0.28518896400386495,0.9456097720286543
luminosity_distance,45327.89995809932,43738.6920991522,47009.56290366801,3270.870804515813,44940.26304709484,42877.48610970217,46781.45615791608,3903.9700482139087,1.1935567870256538
mass_ratio,0.25031370519786433,0.24809242615586521,0.2525464924049282,0.004454066249062999,0.25063678324917305,0.24847116448661255,0.2527658201450035,0.0042946556583909334,0.964210098871879
psi,1.8660747473289558,1.777272999674264,1.9697665544914038,0.1924935548171398,1.8313727410188152,1.7450333110651735,1.929564998691083,0.18453168762590955,0.95863826610302
spin_1z,0.3942049038792728,0.3802418199635695,0.40791190265614524,0.02767008269257576,0.3937796959534242,0.37952946127608717,0.4076733133087485,0.028143852032661343,1.0171220789380837
spin_2z,0.6171932947632025,0.5543866539686493,0.68058636506929,0.12619971110064077,0.6207966983697665,0.5556153145804568,0.6824875398578767,0.12687222527741993,1.0053289676411608
