parameter,baseline_median,baseline_ci90_low,baseline_ci90_high,baseline_ci90_width,five_day_median,five_day_ci90_low,five_day_ci90_high,five_day_ci90_width,ci90_width_ratio_5day_over_baseline
chirp_mass,2997515.6539004194,2993428.6746714856,3000388.36362548,6959.688953994308,2996323.1776024313,2992731.040171705,2999212.334746818,6481.294575112872,0.9312621035158654
inclination,1.2558852074296054,1.2541232309425026,1.2577013329109175,0.003578101968414904,1.2454617797740917,1.2430540535743009,1.2501192196314892,0.007065166057188321,1.974556935368218
latitude,0.3370419319404353,0.18522561950620595,0.4770672904506317,0.2918416709444257,0.04120529830652861,-0.009000469253393671,0.1927181156559783,0.20171858490937197,0.6911918515837462
longitude,4.623414742217351,4.594707664791608,4.830994050050113,0.23628638525850487,5.243276052502156,5.1153879406338945,5.337963636026711,0.2225756953928162,0.9419742705417041
luminosity_distance,45579.5994787072,43668.207193239934,48338.77756069941,4670.570367459477,42978.36251658482,42072.657823661066,45242.18689225053,3169.529068589465,0.6786171322183735
mass_ratio,0.2508189649009946,0.24922327580010512,0.2528900648163704,0.0036667890162652705,0.25293433545482374,0.2504243039844937,0.2534654529874205,0.0030411490029267907,0.8293765988271362
psi,2.5075040992622446,2.481981244963057,2.5813874485323933,0.09940620356933616,1.1548775226918724,1.098161203188678,1.2022262549039517,0.1040650517152737,1.0468667746946796
reference_phase,4.439837914302716,4.438546469804012,4.4436051814629405,0.005058711658928239,6.010210504170437,6.000537279386797,6.011279027222356,0.010741747835559146,2.1234157152643367
reference_time,24.997628456354903,24.997598817792888,24.997632217490366,3.339969747884197e-05,24.997608043891297,24.99759990790256,24.997630594832213,3.068692965157993e-05,0.9187786707056097
spin_1z,0.3929041924978486,0.37735972283965047,0.4009393117929898,0.023579588953339337,0.37889908864301736,0.3731181927735556,0.3909896719871427,0.01787147921358706,0.7579215756878622
spin_2z,0.6190035926161351,0.5988438889687624,0.6885127702724885,0.08966888130372608,0.6884872258442374,0.6411833006530402,0.7116992314947436,0.07051593084170338,0.786403597507279
