parameter,lower,upper,relative_tolerance,lower_fraction,upper_fraction,max_boundary_fraction,warns_boundary_contact
chirp_mass,2981078.7162202178,3015801.8766144384,0.02,0.0,0.0,0.0,False
mass_ratio,0.2410033328758126,0.2606111940402958,0.02,0.0,0.0,0.0,False
spin_1z,0.3314083002251958,0.45588855792470623,0.02,0.0,0.0,0.0,False
spin_2z,0.34139012415753967,0.9044223460057492,0.02,0.0,0.0,0.0,False
coalescence_time,25.01094759510568,25.011206304143638,0.02,0.0,0.0,0.0,False
coalescence_phase,1.7593789371700914,1.890307291921298,0.02,0.0,0.0,0.0,False
luminosity_distance,10678.470382748412,79203.31415323762,0.02,0.0,0.0,0.0,False
inclination,1.8592142532083777,1.9103753441006355,0.02,0.0001838404265097895,0.0,0.0001838404265097895,False
longitude,1.7022180838035323,2.7022180838035323,0.02,0.007261696847136685,0.00367680853019579,0.007261696847136685,False
latitude,-1.3131771915487074,-0.3131771915487074,0.02,0.0,0.00735361706039158,0.00735361706039158,False
psi,1.336346661142927,2.336346661142927,0.02,0.0,0.0,0.0,False
